"protein"	"targetcluster"	"annotcluster"	"categorycluster"	"cluster.ref"	"targetsingle"	"annotsingle"	"categorysingle"	"annot"
"bin_38||F2T1_NODE_8_length_6558_cov_4.971552_2"	"phrog_8914"	"virion structural protein"	"head and packaging"	"YP_009010724.1"	"phrog_8914"	"virion structural protein"	"head and packaging"	"virion structural protein"
"bin_38||F2M_NODE_52_length_6821_cov_24.749631_2"	"phrog_8914"	"virion structural protein"	"head and packaging"	"YP_009010724.1"	"phrog_8914"	"virion structural protein"	"head and packaging"	"virion structural protein"
"bin_00||F1M_NODE_11_length_10844_cov_3.237742_5"	"phrog_8914"	"virion structural protein"	"head and packaging"	"YP_009010724.1"	"phrog_8914"	"virion structural protein"	"head and packaging"	"virion structural protein"
"bin_78||F4M_NODE_11_length_20080_cov_5.793358_11"	"phrog_3423"	NA	"unknown function"	"YP_009187315.1"	"phrog_3423"	NA	"unknown function"	"NA"
"bin_22||F1T2_NODE_2_length_77290_cov_26.792361_55"	"phrog_135"	"dUTPase"	"DNA, RNA and nucleotide metabolism"	"bin_22||F1T2_NODE_2_length_77290_cov_26.792361_55"	"phrog_135"	"dUTPase"	"DNA, RNA and nucleotide metabolism"	"dUTPase"
"bin_22||F1T2_NODE_3_length_67878_cov_24.094643_53"	"phrog_16227"	"virion structural protein"	"head and packaging"	"YP_010110903.1"	"phrog_2072"	NA	"unknown function"	"virion structural protein"
"bin_25||F2M_NODE_149_length_2278_cov_4.832209_5"	"phrog_27476"	NA	"unknown function"	"bin_25||F2M_NODE_149_length_2278_cov_4.832209_5"	"phrog_23835"	NA	"unknown function"	"NA"
"bin_39||F4T1_NODE_13_length_12920_cov_15.385931_3"	"phrog_27476"	NA	"unknown function"	"bin_25||F2M_NODE_149_length_2278_cov_4.832209_5"	"phrog_4253"	NA	"unknown function"	"NA"
"bin_62||F3M_NODE_2_length_96186_cov_32.177903_11"	"phrog_27476"	NA	"unknown function"	"bin_25||F2M_NODE_149_length_2278_cov_4.832209_5"	"phrog_9850"	NA	"unknown function"	"NA"
"bin_54||F4T1_NODE_44_length_3502_cov_3.806789_2"	"phrog_27476"	NA	"unknown function"	"bin_25||F2M_NODE_149_length_2278_cov_4.832209_5"	"phrog_21560"	NA	"unknown function"	"NA"
"bin_01||F1M_NODE_1_length_97959_cov_90.685580_10"	"phrog_5302"	"tail protein"	"tail"	"YP_010111362.1"	"phrog_5302"	"tail protein"	"tail"	"tail protein"
"bin_38||F2M_NODE_52_length_6821_cov_24.749631_1"	"phrog_8145"	NA	"unknown function"	"bin_38||F2M_NODE_52_length_6821_cov_24.749631_1"	"phrog_8145"	NA	"unknown function"	"NA"
"bin_38||F2T1_NODE_8_length_6558_cov_4.971552_4"	"phrog_8145"	NA	"unknown function"	"bin_38||F2M_NODE_52_length_6821_cov_24.749631_1"	"phrog_8145"	NA	"unknown function"	"NA"
"bin_00||F1M_NODE_11_length_10844_cov_3.237742_7"	"phrog_8145"	NA	"unknown function"	"bin_38||F2M_NODE_52_length_6821_cov_24.749631_1"	"phrog_8145"	NA	"unknown function"	"NA"
"bin_62||F3M_NODE_2_length_96186_cov_32.177903_81"	"phrog_7947"	NA	"unknown function"	"bin_62||F3M_NODE_2_length_96186_cov_32.177903_81"	"phrog_1857"	"head-tail connector protein"	"connector"	"head-tail connector protein"
"bin_03||F4T1_NODE_15_length_11612_cov_6.134377_9"	"phrog_1238"	"phosphoheptose isomerase"	"moron, auxiliary metabolic gene and host takeover"	"YP_009798841.1"	"phrog_1238"	"phosphoheptose isomerase"	"moron, auxiliary metabolic gene and host takeover"	"phosphoheptose isomerase"
"bin_16||F2T2_NODE_52_length_2689_cov_2.431663_2"	"phrog_1484"	"virion structural protein"	"head and packaging"	"YP_010083910.1"	"phrog_1484"	"virion structural protein"	"head and packaging"	"virion structural protein"
"bin_33||F2M_NODE_49_length_7104_cov_3.414101_5"	"phrog_419"	NA	"unknown function"	"YP_009852646.1"	"phrog_419"	NA	"unknown function"	"NA"
"bin_22||F1T2_NODE_3_length_67878_cov_24.094643_1"	"phrog_3502"	NA	"unknown function"	"YP_010112931.1"	"phrog_1098"	"HTH DNA binding protein"	"DNA, RNA and nucleotide metabolism"	"HTH DNA binding protein"
"bin_87||F4M_NODE_3_length_55935_cov_12.067484_34"	"phrog_6681"	"terminase large subunit"	"head and packaging"	"YP_010111377.1"	"phrog_6681"	"terminase large subunit"	"head and packaging"	"terminase large subunit"
"bin_43||F2M_NODE_94_length_4025_cov_15.789673_2"	"phrog_4225"	"endonuclease"	"DNA, RNA and nucleotide metabolism"	"bin_43||F2M_NODE_94_length_4025_cov_15.789673_2"	"phrog_4225"	"endonuclease"	"DNA, RNA and nucleotide metabolism"	"endonuclease"
"bin_14||F3T2_NODE_40_length_3507_cov_3.657010_4"	"phrog_4225"	"endonuclease"	"DNA, RNA and nucleotide metabolism"	"bin_43||F2M_NODE_94_length_4025_cov_15.789673_2"	"phrog_4225"	"endonuclease"	"DNA, RNA and nucleotide metabolism"	"endonuclease"
"bin_62||F3M_NODE_2_length_96186_cov_32.177903_87"	"phrog_8466"	NA	"unknown function"	"YP_010112897.1"	"phrog_8466"	NA	"unknown function"	"NA"
"bin_52||F2T2_NODE_11_length_21601_cov_16.946162_30"	"phrog_13126"	"beta-1,4-glycosyltransferase"	"moron, auxiliary metabolic gene and host takeover"	"YP_006382605.1"	"phrog_13126"	"beta-1,4-glycosyltransferase"	"moron, auxiliary metabolic gene and host takeover"	"beta-1,4-glycosyltransferase"
"bin_94||F4T1_NODE_8_length_17516_cov_18.513659_8"	"phrog_991"	"tail length tape measure protein"	"tail"	"YP_001425613.1"	"phrog_991"	"tail length tape measure protein"	"tail"	"tail length tape measure protein"
"bin_53||F2T2_NODE_13_length_17782_cov_7.428668_7"	"phrog_885"	"major tail protein"	"tail"	"bin_53||F2T2_NODE_13_length_17782_cov_7.428668_7"	"phrog_885"	"major tail protein"	"tail"	"major tail protein"
"bin_54||F2T2_NODE_14_length_12054_cov_11.000333_12"	"phrog_35693"	NA	"unknown function"	"bin_54||F2T2_NODE_14_length_12054_cov_11.000333_12"	"phrog_35693"	NA	"unknown function"	"NA"
"bin_41||F2M_NODE_13_length_16832_cov_10.453120_11"	"phrog_35693"	NA	"unknown function"	"bin_54||F2T2_NODE_14_length_12054_cov_11.000333_12"	"phrog_14030"	NA	"unknown function"	"NA"
"bin_07||F1T1_NODE_21_length_9108_cov_4.030156_4"	"phrog_35693"	NA	"unknown function"	"bin_54||F2T2_NODE_14_length_12054_cov_11.000333_12"	"phrog_20677"	NA	"unknown function"	"NA"
"bin_67||F3T2_NODE_14_length_17040_cov_17.432028_10"	"phrog_35693"	NA	"unknown function"	"bin_54||F2T2_NODE_14_length_12054_cov_11.000333_12"	"phrog_11037"	NA	"unknown function"	"NA"
"bin_18||F1T1_NODE_6_length_18505_cov_9.144986_27"	"phrog_6"	"baseplate protein"	"tail"	"YP_009043913.1"	"phrog_6"	"baseplate protein"	"tail"	"baseplate protein"
"bin_10||F1T1_NODE_18_length_9305_cov_4.922486_5"	"phrog_6"	"baseplate protein"	"tail"	"YP_009043913.1"	"phrog_6"	"baseplate protein"	"tail"	"baseplate protein"
"bin_23||F2M_NODE_6_length_26132_cov_8.647314_29"	"phrog_881"	"holin"	"lysis"	"YP_003347351.1"	"phrog_881"	"holin"	"lysis"	"holin"
"bin_01||F1M_NODE_1_length_97959_cov_90.685580_2"	NA	NA	NA	"YP_010110371.1"	NA	NA	NA	"NA"
"bin_01||F1M_NODE_1_length_97959_cov_90.685580_78"	"phrog_253"	"Mu Gam-like end protection"	"DNA, RNA and nucleotide metabolism"	"YP_010112036.1"	"phrog_253"	"Mu Gam-like end protection"	"DNA, RNA and nucleotide metabolism"	"Mu Gam-like end protection"
"bin_42||F2M_NODE_37_length_9407_cov_31.109816_6"	"phrog_253"	"Mu Gam-like end protection"	"DNA, RNA and nucleotide metabolism"	"YP_010112036.1"	"phrog_253"	"Mu Gam-like end protection"	"DNA, RNA and nucleotide metabolism"	"Mu Gam-like end protection"
"bin_62||F3M_NODE_2_length_96186_cov_32.177903_76"	"phrog_1939"	NA	"unknown function"	"YP_010113241.1"	"phrog_9157"	NA	"unknown function"	"NA"
"bin_22||F1T2_NODE_32_length_4279_cov_35.349905_10"	"phrog_27835"	NA	"unknown function"	"YP_010110257.1"	"phrog_29527"	NA	"unknown function"	"NA"
"bin_62||F3M_NODE_2_length_96186_cov_32.177903_53"	"phrog_27835"	NA	"unknown function"	"YP_010110257.1"	"phrog_24555"	NA	"unknown function"	"NA"
"bin_04||F1M_NODE_4_length_46155_cov_6.789046_6"	"phrog_6437"	NA	"unknown function"	"YP_010109097.1"	"phrog_6437"	NA	"unknown function"	"NA"
"bin_03||F4M_NODE_2_length_63054_cov_7.600740_66"	"phrog_37948"	"virion structural protein"	"head and packaging"	"YP_008241538.1"	"phrog_37948"	"virion structural protein"	"head and packaging"	"virion structural protein"
"bin_04||F1M_NODE_7_length_26630_cov_6.160978_7"	"phrog_37948"	"virion structural protein"	"head and packaging"	"YP_008241538.1"	"phrog_37948"	"virion structural protein"	"head and packaging"	"virion structural protein"
"bin_78||F4M_NODE_11_length_20080_cov_5.793358_1"	"phrog_35"	"transcriptional repressor"	"transcription regulation"	"bin_78||F4M_NODE_11_length_20080_cov_5.793358_1"	"phrog_35"	"transcriptional repressor"	"transcription regulation"	"transcriptional repressor"
"bin_11||F4T1_NODE_41_length_3686_cov_3.431286_4"	"phrog_820"	"major tail protein"	"tail"	"YP_006383467.1"	"phrog_820"	"major tail protein"	"tail"	"major tail protein"
"bin_01||F1M_NODE_1_length_97959_cov_90.685580_73"	"phrog_139"	"deoxynucleoside monophosphate kinase"	"other"	"YP_009618403.1"	"phrog_139"	"deoxynucleoside monophosphate kinase"	"other"	"deoxynucleoside monophosphate kinase"
"bin_42||F2M_NODE_37_length_9407_cov_31.109816_12"	"phrog_139"	"deoxynucleoside monophosphate kinase"	"other"	"YP_009618403.1"	"phrog_139"	"deoxynucleoside monophosphate kinase"	"other"	"deoxynucleoside monophosphate kinase"
"bin_78||F4M_NODE_27_length_3433_cov_3.157786_4"	"phrog_308"	"internal virion protein"	"head and packaging"	"YP_009777661.1"	"phrog_308"	"internal virion protein"	"head and packaging"	"internal virion protein"
"bin_04||F1M_NODE_4_length_46155_cov_6.789046_64"	"phrog_28898"	NA	"unknown function"	"bin_04||F1M_NODE_4_length_46155_cov_6.789046_64"	"phrog_28898"	NA	"unknown function"	"NA"
"bin_03||F4M_NODE_2_length_63054_cov_7.600740_53"	"phrog_28898"	NA	"unknown function"	"bin_04||F1M_NODE_4_length_46155_cov_6.789046_64"	"phrog_28898"	NA	"unknown function"	"NA"
"bin_56||F4T1_NODE_21_length_6354_cov_2.996984_9"	"phrog_28898"	NA	"unknown function"	"bin_04||F1M_NODE_4_length_46155_cov_6.789046_64"	"phrog_28898"	NA	"unknown function"	"NA"
"bin_09||F1T1_NODE_17_length_9589_cov_4.511223_4"	"phrog_11420"	"DNA binding protein"	"DNA, RNA and nucleotide metabolism"	"bin_09||F1T1_NODE_17_length_9589_cov_4.511223_4"	"phrog_11420"	"DNA binding protein"	"DNA, RNA and nucleotide metabolism"	"DNA binding protein"
"bin_52||F2T2_NODE_11_length_21601_cov_16.946162_3"	"phrog_11420"	"DNA binding protein"	"DNA, RNA and nucleotide metabolism"	"bin_09||F1T1_NODE_17_length_9589_cov_4.511223_4"	"phrog_11420"	"DNA binding protein"	"DNA, RNA and nucleotide metabolism"	"DNA binding protein"
"bin_10||F1T1_NODE_20_length_9109_cov_4.891208_6"	"phrog_11420"	"DNA binding protein"	"DNA, RNA and nucleotide metabolism"	"bin_09||F1T1_NODE_17_length_9589_cov_4.511223_4"	"phrog_11420"	"DNA binding protein"	"DNA, RNA and nucleotide metabolism"	"DNA binding protein"
"bin_05||F1T1_NODE_10_length_13616_cov_4.586535_9"	"phrog_11420"	"DNA binding protein"	"DNA, RNA and nucleotide metabolism"	"bin_09||F1T1_NODE_17_length_9589_cov_4.511223_4"	"phrog_11420"	"DNA binding protein"	"DNA, RNA and nucleotide metabolism"	"DNA binding protein"
"bin_01||F1M_NODE_1_length_97959_cov_90.685580_65"	"phrog_561"	"RecT-like ssDNA annealing protein"	"DNA, RNA and nucleotide metabolism"	"YP_010097686.1"	"phrog_561"	"RecT-like ssDNA annealing protein"	"DNA, RNA and nucleotide metabolism"	"RecT-like ssDNA annealing protein"
"bin_11||F1T2_NODE_47_length_3229_cov_2.662571_6"	"phrog_1129"	"holin"	"lysis"	"YP_009213099.1"	"phrog_1129"	"holin"	"lysis"	"holin"
"bin_36||F2M_NODE_8_length_25165_cov_22.640104_2"	"phrog_1129"	"holin"	"lysis"	"YP_009213099.1"	"phrog_1129"	"holin"	"lysis"	"holin"
"bin_60||F3M_NODE_15_length_6345_cov_3.223688_3"	"phrog_1129"	"holin"	"lysis"	"YP_009213099.1"	"phrog_1129"	"holin"	"lysis"	"holin"
"bin_22||F1T2_NODE_7_length_14206_cov_35.101618_11"	"phrog_16294"	NA	"unknown function"	"YP_010112187.1"	"phrog_16294"	NA	"unknown function"	"NA"
"bin_56||F4T1_NODE_21_length_6354_cov_2.996984_6"	"phrog_1365"	NA	"unknown function"	"bin_56||F4T1_NODE_21_length_6354_cov_2.996984_6"	"phrog_1365"	NA	"unknown function"	"NA"
"bin_62||F3M_NODE_2_length_96186_cov_32.177903_3"	"phrog_19640"	NA	"unknown function"	"bin_62||F3M_NODE_2_length_96186_cov_32.177903_3"	"phrog_25109"	NA	"unknown function"	"NA"
"bin_31||F4T2_NODE_14_length_3067_cov_3.487716_6"	"phrog_16490"	NA	"unknown function"	"bin_31||F4T2_NODE_14_length_3067_cov_3.487716_6"	"phrog_16490"	NA	"unknown function"	"NA"
"bin_55||F2T2_NODE_18_length_8995_cov_11.509284_16"	"phrog_16490"	NA	"unknown function"	"bin_31||F4T2_NODE_14_length_3067_cov_3.487716_6"	"phrog_16490"	NA	"unknown function"	"NA"
"bin_53||F2T2_NODE_21_length_7199_cov_6.091685_8"	"phrog_16490"	NA	"unknown function"	"bin_31||F4T2_NODE_14_length_3067_cov_3.487716_6"	"phrog_16490"	NA	"unknown function"	"NA"
"bin_56||F4T1_NODE_24_length_5580_cov_3.940271_1"	"phrog_16490"	NA	"unknown function"	"bin_31||F4T2_NODE_14_length_3067_cov_3.487716_6"	"phrog_16490"	NA	"unknown function"	"NA"
"bin_22||F1T2_NODE_3_length_67878_cov_24.094643_64"	"phrog_16490"	NA	"unknown function"	"bin_31||F4T2_NODE_14_length_3067_cov_3.487716_6"	"phrog_16490"	NA	"unknown function"	"NA"
"bin_78||F4M_NODE_27_length_3433_cov_3.157786_3"	"phrog_805"	"internal virion protein"	"head and packaging"	"YP_009007080.1"	"phrog_418"	"internal virion protein"	"head and packaging"	"internal virion protein"
"bin_01||F1M_NODE_1_length_97959_cov_90.685580_5"	"phrog_15515"	NA	"unknown function"	"YP_010111949.1"	"phrog_17821"	"HTH DNA binding protein"	"DNA, RNA and nucleotide metabolism"	"HTH DNA binding protein"
"bin_35||F2M_NODE_1_length_53054_cov_5.764014_5"	"phrog_15515"	NA	"unknown function"	"YP_010111949.1"	NA	NA	NA	"NA"
"bin_18||F1T1_NODE_6_length_18505_cov_9.144986_18"	"phrog_353"	"toxin"	"moron, auxiliary metabolic gene and host takeover"	"bin_18||F1T1_NODE_6_length_18505_cov_9.144986_18"	"phrog_353"	"toxin"	"moron, auxiliary metabolic gene and host takeover"	"toxin"
"bin_23||F2M_NODE_18_length_13684_cov_7.727273_15"	"phrog_4695"	NA	"unknown function"	"YP_009797551.1"	"phrog_4695"	NA	"unknown function"	"NA"
"bin_36||F2M_NODE_58_length_6498_cov_22.529877_2"	"phrog_4695"	NA	"unknown function"	"YP_009797551.1"	"phrog_4695"	NA	"unknown function"	"NA"
"bin_22||F1T2_NODE_2_length_77290_cov_26.792361_24"	"phrog_35239"	NA	"unknown function"	"bin_22||F1T2_NODE_2_length_77290_cov_26.792361_24"	NA	NA	NA	"NA"
"bin_03||F4M_NODE_2_length_63054_cov_7.600740_47"	"phrog_35239"	NA	"unknown function"	"bin_22||F1T2_NODE_2_length_77290_cov_26.792361_24"	NA	NA	NA	"NA"
"bin_04||F1M_NODE_4_length_46155_cov_6.789046_58"	"phrog_35239"	NA	"unknown function"	"bin_22||F1T2_NODE_2_length_77290_cov_26.792361_24"	NA	NA	NA	"NA"
"bin_08||F1T1_NODE_9_length_13674_cov_5.356120_9"	"phrog_35239"	NA	"unknown function"	"bin_22||F1T2_NODE_2_length_77290_cov_26.792361_24"	NA	NA	NA	"NA"
"bin_53||F2T2_NODE_34_length_4855_cov_9.307292_6"	"phrog_1492"	"HNH endonuclease"	"DNA, RNA and nucleotide metabolism"	"YP_008320165.1"	"phrog_59"	"HNH endonuclease"	"DNA, RNA and nucleotide metabolism"	"HNH endonuclease"
"bin_02||F1M_NODE_33_length_2801_cov_3.066278_2"	"phrog_1492"	"HNH endonuclease"	"DNA, RNA and nucleotide metabolism"	"YP_008320165.1"	"phrog_1492"	"HNH endonuclease"	"DNA, RNA and nucleotide metabolism"	"HNH endonuclease"
"bin_38||F2M_NODE_66_length_5681_cov_22.920370_3"	"phrog_1492"	"HNH endonuclease"	"DNA, RNA and nucleotide metabolism"	"YP_008320165.1"	"phrog_1492"	"HNH endonuclease"	"DNA, RNA and nucleotide metabolism"	"HNH endonuclease"
"bin_16||F3T2_NODE_23_length_6074_cov_3.027745_3"	"phrog_1492"	"HNH endonuclease"	"DNA, RNA and nucleotide metabolism"	"YP_008320165.1"	"phrog_59"	"HNH endonuclease"	"DNA, RNA and nucleotide metabolism"	"HNH endonuclease"
"bin_56||F4T1_NODE_24_length_5580_cov_3.940271_4"	"phrog_1492"	"HNH endonuclease"	"DNA, RNA and nucleotide metabolism"	"YP_008320165.1"	"phrog_59"	"HNH endonuclease"	"DNA, RNA and nucleotide metabolism"	"HNH endonuclease"
"bin_00||F1M_NODE_17_length_5959_cov_4.418360_5"	"phrog_1492"	"HNH endonuclease"	"DNA, RNA and nucleotide metabolism"	"YP_008320165.1"	"phrog_59"	"HNH endonuclease"	"DNA, RNA and nucleotide metabolism"	"HNH endonuclease"
"bin_01||F1M_NODE_1_length_97959_cov_90.685580_13"	"phrog_4481"	NA	"unknown function"	"YP_010112017.1"	"phrog_15605"	NA	"unknown function"	"NA"
"bin_70||F3T2_NODE_3_length_87254_cov_17.672565_104"	"phrog_4481"	NA	"unknown function"	"YP_010112017.1"	"phrog_8443"	"tail fiber protein"	"tail"	"tail fiber protein"
"bin_10||F1T1_NODE_18_length_9305_cov_4.922486_13"	"phrog_55"	"head closure"	"connector"	"YP_009797406.1"	"phrog_55"	"head closure"	"connector"	"head closure"
"bin_04||F1M_NODE_4_length_46155_cov_6.789046_7"	"phrog_37407"	"DnaB-like replicative helicase"	"DNA, RNA and nucleotide metabolism"	"bin_04||F1M_NODE_4_length_46155_cov_6.789046_7"	"phrog_37407"	"DnaB-like replicative helicase"	"DNA, RNA and nucleotide metabolism"	"DnaB-like replicative helicase"
"bin_26||F4M_NODE_9_length_21262_cov_7.968973_28"	"phrog_11226"	"portal protein"	"head and packaging"	"YP_007673406.1"	"phrog_11226"	"portal protein"	"head and packaging"	"portal protein"
"bin_26||F1T2_NODE_4_length_18774_cov_54.245900_16"	"phrog_11226"	"portal protein"	"head and packaging"	"YP_007673406.1"	"phrog_11226"	"portal protein"	"head and packaging"	"portal protein"
"bin_39||F4T1_NODE_7_length_18316_cov_12.186080_26"	"phrog_1770"	"Holliday junction resolvase"	"DNA, RNA and nucleotide metabolism"	"bin_39||F4T1_NODE_7_length_18316_cov_12.186080_26"	"phrog_159"	"RuvC-like Holliday junction resolvase"	"DNA, RNA and nucleotide metabolism"	"RuvC-like Holliday junction resolvase"
"bin_00||F1M_NODE_29_length_3088_cov_3.327399_3"	"phrog_1770"	"Holliday junction resolvase"	"DNA, RNA and nucleotide metabolism"	"bin_39||F4T1_NODE_7_length_18316_cov_12.186080_26"	"phrog_1770"	"Holliday junction resolvase"	"DNA, RNA and nucleotide metabolism"	"Holliday junction resolvase"
"bin_38||F2T1_NODE_6_length_7108_cov_4.665674_5"	"phrog_1770"	"Holliday junction resolvase"	"DNA, RNA and nucleotide metabolism"	"bin_39||F4T1_NODE_7_length_18316_cov_12.186080_26"	"phrog_1770"	"Holliday junction resolvase"	"DNA, RNA and nucleotide metabolism"	"Holliday junction resolvase"
"bin_38||F2M_NODE_62_length_6069_cov_13.771866_2"	"phrog_1770"	"Holliday junction resolvase"	"DNA, RNA and nucleotide metabolism"	"bin_39||F4T1_NODE_7_length_18316_cov_12.186080_26"	"phrog_1770"	"Holliday junction resolvase"	"DNA, RNA and nucleotide metabolism"	"Holliday junction resolvase"
"bin_62||F3M_NODE_2_length_96186_cov_32.177903_159"	"phrog_199"	"holin"	"lysis"	"YP_010112205.1"	"phrog_199"	"holin"	"lysis"	"holin"
"bin_22||F1T2_NODE_6_length_14301_cov_30.775095_4"	"phrog_199"	"holin"	"lysis"	"YP_010112205.1"	"phrog_199"	"holin"	"lysis"	"holin"
"bin_08||F1T1_NODE_62_length_2892_cov_2.743391_2"	"phrog_62"	"DNA helicase"	"DNA, RNA and nucleotide metabolism"	"YP_010110759.1"	"phrog_62"	"DNA helicase"	"DNA, RNA and nucleotide metabolism"	"DNA helicase"
"bin_35||F2M_NODE_11_length_20357_cov_5.705743_18"	"phrog_62"	"DNA helicase"	"DNA, RNA and nucleotide metabolism"	"YP_010110759.1"	NA	NA	NA	"DNA helicase"
"bin_04||F1M_NODE_3_length_59487_cov_7.401148_24"	"phrog_97"	"UvsX-like recombinase"	"other"	"YP_007003452.1"	"phrog_97"	"UvsX-like recombinase"	"other"	"UvsX-like recombinase"
"bin_87||F4M_NODE_3_length_55935_cov_12.067484_25"	"phrog_97"	"UvsX-like recombinase"	"other"	"YP_007003452.1"	"phrog_97"	"UvsX-like recombinase"	"other"	"UvsX-like recombinase"
"bin_22||F1T2_NODE_2_length_77290_cov_26.792361_67"	"phrog_97"	"UvsX-like recombinase"	"other"	"YP_007003452.1"	"phrog_97"	"UvsX-like recombinase"	"other"	"UvsX-like recombinase"
"bin_14||F3T2_NODE_35_length_4274_cov_3.631903_5"	"phrog_56"	"DNA methyltransferase"	"other"	"YP_358804.1"	"phrog_56"	"DNA methyltransferase"	"other"	"DNA methyltransferase"
"bin_78||F4M_NODE_11_length_20080_cov_5.793358_17"	"phrog_450"	NA	"unknown function"	"bin_78||F4M_NODE_11_length_20080_cov_5.793358_17"	"phrog_450"	NA	"unknown function"	"NA"
"bin_01||F1M_NODE_1_length_97959_cov_90.685580_38"	"phrog_315"	"endolysin"	"lysis"	"YP_010110798.1"	"phrog_19655"	NA	"unknown function"	"endolysin"
"bin_04||F1M_NODE_3_length_59487_cov_7.401148_13"	"phrog_59"	"HNH endonuclease"	"DNA, RNA and nucleotide metabolism"	"YP_009804594.1"	"phrog_59"	"HNH endonuclease"	"DNA, RNA and nucleotide metabolism"	"HNH endonuclease"
"bin_16||F2T2_NODE_52_length_2689_cov_2.431663_4"	"phrog_3791"	"major tail protein"	"tail"	"YP_010083912.1"	"phrog_3791"	"major tail protein"	"tail"	"major tail protein"
"bin_22||F1T2_NODE_7_length_14206_cov_35.101618_5"	"phrog_1035"	"endonuclease VII"	"DNA, RNA and nucleotide metabolism"	"YP_009816199.1"	"phrog_3322"	"endonuclease"	"DNA, RNA and nucleotide metabolism"	"endonuclease"
"bin_24||F2T2_NODE_17_length_10111_cov_4.236973_8"	"phrog_78"	"tail terminator"	"connector"	"bin_24||F2T2_NODE_17_length_10111_cov_4.236973_8"	"phrog_176"	"tail terminator"	"connector"	"tail terminator"
"bin_94||F4T1_NODE_8_length_17516_cov_18.513659_12"	"phrog_78"	"tail terminator"	"connector"	"bin_24||F2T2_NODE_17_length_10111_cov_4.236973_8"	"phrog_2595"	"head-tail connector protein"	"connector"	"head-tail connector protein"
"bin_62||F3M_NODE_2_length_96186_cov_32.177903_83"	"phrog_17069"	NA	"unknown function"	"YP_010113249.1"	"phrog_7764"	NA	"unknown function"	"NA"
"bin_10||F1T1_NODE_18_length_9305_cov_4.922486_4"	"phrog_48"	"tail protein"	"tail"	"YP_009202230.1"	"phrog_48"	"tail protein"	"tail"	"tail protein"
"bin_36||F2M_NODE_58_length_6498_cov_22.529877_3"	"phrog_4678"	NA	"unknown function"	"YP_009603426.1"	"phrog_4678"	NA	"unknown function"	"NA"
"bin_23||F2M_NODE_18_length_13684_cov_7.727273_14"	"phrog_4678"	NA	"unknown function"	"YP_009603426.1"	"phrog_4678"	NA	"unknown function"	"NA"
"bin_36||F2M_NODE_8_length_25165_cov_22.640104_17"	"phrog_31690"	NA	"unknown function"	"bin_36||F2M_NODE_8_length_25165_cov_22.640104_17"	"phrog_31690"	NA	"unknown function"	"NA"
"bin_53||F2T2_NODE_13_length_17782_cov_7.428668_12"	"phrog_31690"	NA	"unknown function"	"bin_36||F2M_NODE_8_length_25165_cov_22.640104_17"	"phrog_31690"	NA	"unknown function"	"NA"
"bin_53||F2T2_NODE_39_length_3807_cov_5.945096_2"	"phrog_31690"	NA	"unknown function"	"bin_36||F2M_NODE_8_length_25165_cov_22.640104_17"	"phrog_31690"	NA	"unknown function"	"NA"
"bin_22||F1T2_NODE_3_length_67878_cov_24.094643_11"	"phrog_26927"	NA	"unknown function"	"YP_010110179.1"	"phrog_29084"	NA	"unknown function"	"NA"
"bin_01||F1M_NODE_1_length_97959_cov_90.685580_53"	"phrog_4321"	"HNH endonuclease"	"DNA, RNA and nucleotide metabolism"	"YP_009052489.1"	"phrog_19254"	NA	"unknown function"	"HNH endonuclease"
"bin_68||F3T2_NODE_16_length_12864_cov_12.776407_10"	"phrog_4321"	"HNH endonuclease"	"DNA, RNA and nucleotide metabolism"	"YP_009052489.1"	"phrog_4321"	"HNH endonuclease"	"DNA, RNA and nucleotide metabolism"	"HNH endonuclease"
"bin_26||F4M_NODE_9_length_21262_cov_7.968973_12"	"phrog_256"	"DNA helicase"	"DNA, RNA and nucleotide metabolism"	"YP_009840420.1"	"phrog_256"	"DNA helicase"	"DNA, RNA and nucleotide metabolism"	"DNA helicase"
"bin_05||F1T1_NODE_43_length_4611_cov_3.309701_9"	"phrog_256"	"DNA helicase"	"DNA, RNA and nucleotide metabolism"	"YP_009840420.1"	"phrog_256"	"DNA helicase"	"DNA, RNA and nucleotide metabolism"	"DNA helicase"
"bin_09||F1T1_NODE_65_length_2629_cov_3.869852_4"	"phrog_872"	NA	"unknown function"	"bin_09||F1T1_NODE_65_length_2629_cov_3.869852_4"	"phrog_872"	NA	"unknown function"	"NA"
"bin_00||F1M_NODE_28_length_3196_cov_2.546641_1"	"phrog_7376"	"portal protein"	"head and packaging"	"YP_009324580.1"	"phrog_7376"	"portal protein"	"head and packaging"	"portal protein"
"bin_38||F2M_NODE_42_length_8193_cov_14.303391_5"	"phrog_7376"	"portal protein"	"head and packaging"	"YP_009324580.1"	"phrog_7376"	"portal protein"	"head and packaging"	"portal protein"
"bin_43||F2M_NODE_3_length_45859_cov_9.702144_30"	"phrog_5902"	NA	"unknown function"	"YP_009914588.1"	"phrog_5902"	NA	"unknown function"	"NA"
"bin_33||F2M_NODE_33_length_9735_cov_4.967562_4"	"phrog_761"	"thymidylate kinase"	"other"	"bin_33||F2M_NODE_33_length_9735_cov_4.967562_4"	"phrog_761"	"thymidylate kinase"	"other"	"thymidylate kinase"
"bin_62||F3M_NODE_2_length_96186_cov_32.177903_158"	"phrog_38431"	NA	"unknown function"	"YP_010113072.1"	NA	NA	NA	"NA"
